;LDMC;SLA;height;growthform;life_history;clonal_strategy;lat_spread;leaf_distr
Galium ruthenicum;439;10.7;29.25;forb;perennial;phalanx;sev_stems;leafystem
Geranium transversale;;;11.8;forb;perennial;none;sgl_shoot;(semi)rosette
Glycyrrhiza uralensis;371;11.4;27;forb;perennial;none;sev_stems;leafystem
Gypsophila paniculata;186;12.8;40;forb;perennial;none;sev_stems;leafystem
Halimione verrucifera;200;10.5;3.75;forb;perennial;none;sev_stems;leafystem
Helichrysum arenarium;333;18.3;18.75;forb;perennial;phalanx;sev_stems;leafystem
Hierochloe odorata;;;20.75;grass;perennial;guerilla;sgl_shoot;leafystem
Hylotelephium triphyllum;;;37.5;forb;perennial;none;sgl_shoot;leafystem
Inula britannica;;;;forb;perennial;guerilla;sgl_shoot;leafystem
Iris pumila;;;11.25;forb;perennial;phalanx;sev_stems;(semi)rosette
Ixiolirion tataricum;;;21.07692308;forb;perennial;none;sgl_shoot;(semi)rosette
Jurinea multiflora;255;15.3;8.166666667;forb;perennial;guerilla;sgl_shoot;(semi)rosette
Jurinea xerophytica;;;;forb;perennial;guerilla;sgl_shoot;(semi)rosette
Kochia prostrata;319;12.5;12.03472222;forb_woody;perennial;none;sev_stems;leafystem
Koeleria cristata;401;7;16.31521739;grass;perennial;phalanx;tussock;(semi)rosette
Koeleria glauca;;;15.25;grass;perennial;phalanx;tussock;(semi)rosette
Lappula patula;;;12.5;forb;ann/biennial;none;sgl_shoot;leafystem
Lappula stricta;308;18;12.17647059;forb;ann/biennial;none;sgl_shoot;leafystem
Lepidium perfoliatum;236;23.4;9;forb;ann/biennial;none;sgl_shoot;leafystem
Lepidium ruderale;;;8.5;forb;ann/biennial;none;sgl_shoot;leafystem
Lepidium songaricum;;;27;forb;perennial;none;sgl_shoot;leafystem
Leymus angustus;;;;grass;perennial;phalanx;tussock;leafystem
Leymus ramosus;392;13.5;24.96153846;grass;perennial;guerilla;sgl_shoot;leafystem
Limonium gmelinii;249;8.6;11.83333333;forb;perennial;phalanx;sgl_shoot;(semi)rosette
Limonium sareptanum;264;11;5.40625;forb;perennial;phalanx;sgl_shoot;(semi)rosette
Limonium suffruticosum;310;6.6;11.02083333;forb_woody;perennial;none;sev_stems;leafystem
Linaria genistifolia;;;85;forb;perennial;guerilla;sev_stems;leafystem
Linaria incompleta;;;26.25;forb;perennial;none;sev_stems;leafystem
Linaria sp;;;;forb;perennial;none;sev_stems;leafystem
Medicago falcata;353;13;35.3;forb;perennial;phalanx;sev_stems;leafystem
Megacarpaea megalocarpa;;;12.9375;forb;perennial;none;sgl_shoot;(semi)rosette
Myosotis micrantha;;;8.75;forb;ann/biennial;none;sev_stems;(semi)rosette
Myosurus minimus;;;4;forb;ann/biennial;none;sgl_shoot;(semi)rosette
Nepeta ucranica;263;15.3;24;forb;perennial;phalanx;sev_stems;leafystem
Onosma tinctoria;283;14.1;46;forb;ann/biennial;none;sev_stems;leafystem
Ornithogalum fischerianum;;;27;forb;perennial;none;sgl_shoot;(semi)rosette
Palimbia salsa;202;14;9.714285714;forb;perennial;none;sgl_shoot;(semi)rosette
Pastinaca clausii;;;26.75;forb;perennial;none;sgl_shoot;(semi)rosette
Petrosimonia brachyphylla;;;;forb;ann/biennial;none;sev_stems;leafystem
Petrosimonia litwinowii;160;4.8;1;forb;ann/biennial;none;sev_stems;leafystem
Petrosimonia sibirica;;;;forb;ann/biennial;none;sev_stems;leafystem
Petrosimonia triandra;;;6;forb;ann/biennial;none;sev_stems;leafystem
Phlomoides agraria;285;15.2;10.375;forb;perennial;guerilla;sgl_shoot;(semi)rosette
Phlomoides tuberosa;320;13.2;10.125;forb;perennial;guerilla;sgl_shoot;(semi)rosette
Phragmites australis;;;46.41666667;grass;perennial;guerilla;sgl_shoot;leafystem
Plantago tenuiflora;;;7.25;forb;ann/biennial;none;sgl_shoot;(semi)rosette
Poa bulbosa;213;19.2;2.566964286;grass;perennial;phalanx;sev_stems;(semi)rosette
Poa versicolor;399;13.4;25.8;grass;perennial;phalanx;tussock;(semi)rosette
