"SBS.name","height","SLA","mean.LMDC..mg.g."
"126","Amaranthus retroflexus",0.451666666666667,16.1571207866667,216.8425
"127","Amaranthus standleyanus",0.45,NA,NA
"128","Ambrosia artemisiifolia",1.095,22.81,150.08
"129","Ambrosia coronopifolia",0.45,19.03,248.6
"130","Ambrosia trifida",1.02,24.1066666666667,187.335
"131","Amelanchier lamarckii",8.75,11.34,346.5
"132","Amelanchier ovalis",2,11.3233333333333,NA
"133","Amelanchier spicata",4.5,19.60784314,NA
"134","Ammi majus",0.395,34.4433333333333,143.02
"135","Ammophila arenaria",0.8,6.56,287
"136","Amorpha fruticosa",2.5,NA,NA
"137","Amsinckia lycopsoides",0.275,NA,NA
"138","Anacamptis pyramidalis",0.3,44.115,119.6
"139","Anagallis arvensis",0.12875,29.2166666666667,142
"140","Anagallis foemina",0.1425,27.41,171.72
"141","Anagallis minima",0.0383333333333333,70.87,123.69
"142","Anagallis tenella",0.09,35.1,120
"143","Anarrhinum bellidifolium",0.565,15.395,199.37
"144","Anchusa arvensis",0.2,16.525,116.5
"145","Anchusa azurea",0.89,19.04,123.36
"146","Anchusa officinalis",0.475,22.925,112.49
"147","Andromeda polifolia",0.2625,7.664548859,415.63
"148","Androsace chamaejasme",0.015,NA,NA
"149","Androsace elongata",0.015,NA,NA
"150","Androsace hausmannii",0.025,NA,NA
"151","Androsace helvetica",0.03,NA,NA
"152","Androsace lactea",0.035,25.82,164.93
"153","Androsace maxima",0.0125,24.26,139.33
"154","Androsace obtusifolia",0.035,NA,NA
"155","Androsace septentrionalis",0.0125,24.53,173.56
"156","Anemone narcissifolia",0.225,NA,NA
"157","Anemone nemorosa",0.138333333333333,27.7125,205
"158","Anemone ranunculoides",0.135,36.525,184.065
"159","Anemone sylvestris",0.1525,18.3150131233333,239.84
"160","Anethum graveolens",0.61,18.465,166.49
"161","Angelica archangelica",0.758333333333333,19.3466666666667,222.526666666667
"162","Angelica palustris",0.6,NA,NA
"163","Angelica sylvestris",0.783333333333333,26.93231906,220
"164","Antennaria carpatica",0.1,15.2,308
"165","Antennaria dioica",0.1,18.4,249
"166","Anthemis arvensis",0.285,31.415,142.955
"167","Anthemis austriaca",0.325,NA,NA
"168","Anthemis cotula",0.285,22.4,107
"169","Anthemis ruthenica",0.325,30.71,141.78
"170","Anthemis tinctoria",0.375,17.4963948075,217.393333333333
"171","Anthericum liliago",0.3,18.05,162.49
"172","Anthericum ramosum",0.2875,23.49,163.02
"173","Anthoxanthum alpinum",0.0931333333333333,17.37,305.02
"174","Anthoxanthum aristatum",0.161666666666667,29.97,227.17
"175","Anthoxanthum odoratum",0.165,29.911116891,273.17
"176","Anthriscus caucalis",0.36,32.9783333333333,193.262
"177","Anthriscus cerefolium",0.39,52.68,168.15
"178","Anthriscus nitida",0.675,21.825,215.765
"179","Anthriscus sylvestris",0.733333333333333,31.1920958577778,207
"180","Anthyllis vulneraria",0.2,16.166,170
"181","Antirrhinum majus",0.425,17.2,165
"182","Apera interrupta",0.1325,31.6333333333333,274.885
"183","Apera spica-venti",0.55,19.1333333333333,252
"184","Aphanes arvensis",0.085,17.7,264
"185","Aphanes inexspectata",0.065,25.5675,214.48
"186","Apium graveolens",0.483333333333333,18.2,167
"187","Apium inundatum",0.2625,41.07,129.0875
"188","Apium nodiflorum",0.466666666666667,61.875,110
"189","Apium repens",0.2,NA,NA
"190","Aposeris foetida",0.1,NA,NA
"191","Aquilegia atrata",0.4,NA,NA
"192","Aquilegia einseleana",0.1,NA,NA
"193","Aquilegia vulgaris",0.55,26.005882355,295
"194","Arabidopsis suecica",0.145,31.57,151.02
"195","Arabidopsis thaliana",0.133333333333333,32.9,103.5
"196","Arabis alpina",0.1375,26.31578947,NA
"197","Arabis alpina s. caucasica",0.075,NA,NA
"198","Arabis caerulea",0.06,21.00840336,NA
"199","Arabis ciliata",0.105,NA,NA
"200","Arabis glabra",0.65625,24.82,174.345
"201","Arabis hirsuta",0.323333333333333,28.1,166
"202","Arabis nemorensis",0.45,NA,NA
"203","Arabis parvula",0.4,NA,NA
"204","Arabis recta",0.19,NA,NA
"205","Arabis sagittata",0.425,19.125,141.09
"206","Arabis soyeri",0.15,NA,NA
"207","Arabis stricta",0.0725,NA,NA
"208","Arabis turrita",0.3,NA,NA
"209","Arbutus unedo",12,8.19666666666667,257.5
"210","Arctium lappa",1.085,17.4333333333333,192.27
"211","Arctium minus",0.7,24.0666666666667,177.333333333333
"212","Arctium nemorosum",1.6,NA,NA
"213","Arctium tomentosum",0.825,50,NA
"214","Arctostaphylos alpinus",0.1625,11.779133178,260.53
"215","Arctostaphylos uva-ursi",0.17,6.208,371
"216","Aremonia agrimonoides",0.241666666666667,NA,NA
"217","Arenaria ciliata",0.0575,NA,NA
"218","Arenaria norvegica",0.0375,NA,NA
"219","Arenaria serpyllifolia",0.165,20.08,220.3675
"220","Arenaria serpyllifolia s. leptoclados",0.1,26.84,252.87
"221","Aristolochia clematitis",0.4,16.885,270.44
"222","Aristolochia macrophylla",4.5,NA,NA
"223","Armeria arcuata",0.175,NA,NA
"224","Armeria maritima",0.15,NA,171.06
"225","Armeria maritima s. elongata",0.085,20.36,NA
"226","Armoracia rusticana",1,18.34,183.666666666667
"227","Arnica montana",0.275,19.54,120.31
"228","Arnoseris minima",0.035,32.68,99.76
"229","Arrhenatherum elatius",1.275,28.289830183,292.34
"230","Artemisia abrotanum",0.8,NA,NA
"231","Artemisia absinthium",0.825,30.3645919766667,220.5
"232","Artemisia annua",0.95,29.0783333333333,226.58
"233","Artemisia austriaca",0.4,NA,NA
"234","Artemisia biennis",0.65,13.34,NA
"235","Artemisia campestris",0.45,16.305,213.805
"236","Artemisia dracunculus",0.775,NA,NA
"237","Artemisia laciniata",0.21,NA,NA
"238","Artemisia maritima",0.35,15.33,190.61
"239","Artemisia pontica",0.6,NA,NA
"240","Artemisia rupestris",0.215,NA,NA
"241","Artemisia scoparia",0.45,NA,NA
"242","Artemisia siversiana",0.825,NA,NA
"243","Artemisia tournefortiana",0.75,NA,NA
"244","Artemisia umbelliformis",0.1,NA,NA
"245","Artemisia verlotiorum",1.6,NA,NA
"246","Artemisia vulgaris",1.4,24.122352942,258
"247","Arum cylindraceum",0.275,NA,NA
"248","Arum maculatum",0.2425,33.26,117.666666666667
"249","Aruncus dioicus",0.925,42.995,203.835
"250","Asarum europaeum",0.075,27.515,145.825
"251","Asparagus officinalis",0.9,10.73,302.385
"252","Asperugo procumbens",0.35,70.3,81.19
"253","Asperula arvensis",0.225,NA,NA
"254","Asperula cynanchica",0.26875,27.63,311.52
"255","Asperula tinctoria",0.425,20.23,226.78
"256","Asplenium adiantum-nigrum",0.3,NA,NA
"257","Asplenium adulterinum",0.125,NA,NA
"258","Asplenium ceterach",0.125,18.9,288
"259","Asplenium cuneifolium",0.3,NA,NA
"260","Asplenium fissum",0.175,NA,NA
"261","Asplenium fontanum",0.125,NA,NA
"262","Asplenium ruta-muraria",0.09,12.4333333333333,292.333333333333
"263","Asplenium scolopendrium",0.325,17.6333333333333,234
"264","Asplenium seelosii",0.06,NA,NA
"265","Asplenium septentrionale",0.115,14.42,180.02
"266","Asplenium trichomanes",0.175,10.9,337
"267","Asplenium trichomanes-ramosum",0.125,19.9,337
"268","Aster alpinus",0.065,NA,NA
"269","Aster amellus",0.275,15.3781682,207.335
"270","Aster bellidiastrum",0.1,25.69,125.39
"271","Aster laevis",0.75,12.714,NA
"272","Aster lanceolatus",0.875,14.3665,291
"273","Aster linosyris",0.275,11.44,253.74
"274","Aster novae-angliae",1.175,14.864,NA
"275","Aster novi-belgii",1.075,19.6,210.333333333333
"276","Aster tradescantii",0.875,NA,NA
"277","Aster tripolium",0.25,17.96,139.836
"278","Aster x salignus",0.925,NA,NA
"279","Astragalus alpinus",0.117,22.3583055125,181.02
"280","Astragalus arenarius",0.2,NA,NA
"281","Astragalus australis",0.15,NA,NA
"282","Astragalus cicer",0.425,25.99,205.85
"283","Astragalus danicus",0.13,21.7,241
"284","Astragalus exscapus",0.055,NA,NA
"285","Astragalus frigidus",0.2,23.5736131,184.61
"286","Astragalus glycyphyllos",0.575,25.656,272.5
"287","Astragalus onobrychis",0.2,NA,NA
"288","Astragalus penduliflorus",0.4,NA,NA
"289","Astrantia bavarica",0.175,NA,NA
"290","Astrantia major",0.525,24.385,175.585
"291","Athamanta cretensis",0.125,NA,NA
"292","Athyrium distentifolium",0.53,29.015,146.99
"293","Athyrium filix-femina",0.65,12.1,292
"294","Atriplex calotheca",0.725,17.335,197.09
"295","Atriplex glabriuscula",0.421666666666667,16.7166666666667,169.15
"296","Atriplex hortensis",0.6,NA,NA
