species,LDMC,SLA,growthform,life_history,clonal_strategy,lat_spread,leaf_distr
Glycyrrhiza.uralensis,319.1,14.1,forb,perennial,none,sev_stems,leafystem
Gypsophila.paniculata,175.7,14.1,forb,perennial,none,sev_stems,leafystem
Halimione.verrucifera,194.2,10.1,forb,perennial,none,sev_stems,leafystem
Helichrysum.arenarium,333.1,18.3,forb,perennial,phalanx,sev_stems,leafystem
Hierochloe.odorata,381.1,13.1,grass,perennial,guerilla,sgl_shoot,leafystem
Hylotelephium.triphyllum,433.7,9.8,forb,perennial,none,sgl_shoot,leafystem
Inula.britannica,,,forb,perennial,phalanx,sgl_shoot,leafystem
Iris.pumila,,,forb,perennial,phalanx,sev_stems,(semi)rosette
Ixiolirion.tataricum,,,forb,perennial,none,sgl_shoot,(semi)rosette
Jurinea.multiflora,283.5,13.6,forb,perennial,guerilla,sgl_shoot,(semi)rosette
Jurinea.xerophytica,244,10,forb,perennial,guerilla,sgl_shoot,(semi)rosette
Kochia.prostrata,318.5,12.5,forb_woody,perennial,none,sev_stems,leafystem
Koeleria.cristata,397.9,10.7,grass,perennial,phalanx,tussock,(semi)rosette
Koeleria.glauca,,,grass,perennial,phalanx,tussock,(semi)rosette
Lappula.patula,,,forb,ann/biennial,none,sgl_shoot,leafystem
Lappula.stricta,308.2,18.5,forb,ann/biennial,none,sgl_shoot,leafystem
Lepidium.perfoliatum,232,22.9,forb,ann/biennial,none,sgl_shoot,leafystem
Lepidium.ruderale,,,forb,ann/biennial,none,sgl_shoot,leafystem
Lepidium.songaricum,,,forb,perennial,none,sgl_shoot,leafystem
Leymus.angustus,352.1,7,grass,perennial,guerilla,sgl_shoot,leafystem
Leymus.ramosus,394.4,13,grass,perennial,guerilla,sgl_shoot,leafystem
Limonium.gmelinii,268.2,9.4,forb,perennial,phalanx,sgl_shoot,(semi)rosette
Limonium.sareptanum,264.3,11,forb,perennial,phalanx,sgl_shoot,(semi)rosette
Limonium.suffruticosum,299.5,7.2,forb_woody,perennial,none,sev_stems,leafystem
Linaria.genistifolia,,,forb,perennial,guerilla,sev_stems,leafystem
Linaria.incompleta,286.4,11.1,forb,perennial,none,sev_stems,leafystem
Linaria.sp,,,forb,,,,
Medicago.falcata,328.1,15.8,forb,perennial,phalanx,sev_stems,leafystem
Megacarpaea.megalocarpa,,,forb,perennial,none,sgl_shoot,(semi)rosette
Myosotis.micrantha,,,forb,ann/biennial,none,sev_stems,(semi)rosette
Myosurus.minimus,,,forb,ann/biennial,none,sgl_shoot,(semi)rosette
Nepeta.ucranica,263.2,15.3,forb,perennial,phalanx,sev_stems,leafystem
Onosma.tinctoria,276.6,11,forb,ann/biennial,none,sev_stems,leafystem
Ornithogalum.fischerianum,,,forb,perennial,none,sgl_shoot,(semi)rosette
Palimbia.salsa,210.2,13.2,forb,perennial,none,sgl_shoot,(semi)rosette
Pastinaca.clausii,,,forb,perennial,none,sgl_shoot,(semi)rosette
Petrosimonia.brachyphylla,,,forb,ann/biennial,none,sev_stems,leafystem
Petrosimonia.litwinowii,160.3,4.8,forb,ann/biennial,none,sev_stems,leafystem
Petrosimonia.sibirica,,,forb,ann/biennial,none,sev_stems,leafystem
Petrosimonia.triandra,,,forb,ann/biennial,none,sev_stems,leafystem
Phlomoides.agraria,285,15.2,forb,perennial,guerilla,sgl_shoot,(semi)rosette
Phlomoides.tuberosa,321.6,13.3,forb,perennial,guerilla,sgl_shoot,(semi)rosette
Phragmites.australis,,,grass,perennial,guerilla,sgl_shoot,leafystem
Plantago.tenuiflora,,,forb,ann/biennial,none,sgl_shoot,(semi)rosette
Poa.bulbosa,212.5,19.2,grass,perennial,phalanx,sev_stems,(semi)rosette
Poa.versicolor,410.2,12.4,grass,perennial,phalanx,tussock,(semi)rosette
Polygonum.patulum,280,17.1,forb,ann/biennial,none,sgl_shoot,leafystem
Potentilla.arenaria,463.3,12,forb,perennial,phalanx,sev_stems,(semi)rosette
Potentilla.argentea,384.4,14.8,forb,perennial,none,sev_stems,(semi)rosette
Potentilla.bifurca,413.2,11.2,forb,perennial,phalanx,sev_stems,(semi)rosette
Potentilla.humifusa,443.2,9.9,forb,perennial,phalanx,sev_stems,(semi)rosette
Psammophiliella.muralis,,,forb,ann/biennial,none,sgl_shoot,leafystem
Psathyrostachys.juncea,367.3,11.2,grass,perennial,phalanx,tussock,(semi)rosette
Pseudosedum.lievenii,,,forb,perennial,phalanx,sev_stems,leafystem
