OBJECTID,Name,Category,Status1990,Status2015,MapDate,Comments,Example,Image_type,Image_date,CattleShed,Ncells_Grassl450m,MeanGrasslCov,Ncells_FireFreq,MeanFireFreq,Lon,Lat,Ncells_BA90,BA_proportion_1990,Ncells_BA2000,BA_proportion_2000,Ncells_BA2015,BA_proportion_2015,Shape_Length,Shape_Area
51,Akshii,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,246,0.947136418,246,0.12601626,63.53690338,49.86754227,249,0,249,0,249,0.21881303,0.291073182,0.006283732
52,n/a,Letovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,248,0.929910399,246,0,63.5439415,49.83547592,250,0,250,0.0048,250,0.090488889,0.290947003,0.006279611
53,n/a,Letovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,246,0.939168926,248,0,63.55445862,49.82360077,250,0,250,0.00144,250,0.057831111,0.290900329,0.006278087
54,n/a,Letovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,248,0.992759859,245,0,63.50588608,49.79127121,250,0,250,0.01456,250,0.087111111,0.290773454,0.006273942
55,n/a,Letovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,246,0.969141836,246,0,63.61520767,49.82599258,248,0,248,0,248,0.057939068,0.290909733,0.006278394
56,Shubalan,Settlement,100,50,1986,abandoned/active livestock stations,0,bing,2016/2017,1,249,0.863168236,246,0.016260163,63.57345963,49.73944473,247,0,247,0.04539811,247,0.105533064,0.290570581,0.006267314
57,Kalam-Karasu,Settlement,100,50,1986,abandoned livestock stations,0,bing,2016/2017,1,250,0.668408896,250,0.012,63.63588333,49.70729828,251,0,251,0.012589641,251,0.010340859,0.290445051,0.006263212
58,n/a,Letovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,246,0.943848229,243,0.020576132,63.50772095,49.71222687,243,0,243,0.003365341,243,0.021490626,0.290464289,0.006263841
59,n/a,Letovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,247,0.87911831,241,0.062240664,63.60319519,49.76223755,248,0,248,0.006290323,248,0.092831542,0.290659724,0.006270226
60,n/a,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,248,0.828709688,248,0.096774194,63.62086487,49.75533676,249,0,249,0.018991522,249,0.092351629,0.290632723,0.006269344
61,Kalyankstau,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,244,0.608724963,245,0.489795918,63.58727264,49.68610001,250,0,250,0.034453333,250,0.02368,0.290362408,0.006260511
62,Berkambai,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,250,0.658257775,245,0.048979592,63.60217667,49.71191406,249,0,249,0.048085676,249,0.051584115,0.290463059,0.0062638
63,Bozyke,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,247,0.686621687,246,0.06097561,63.57515717,49.70910645,245,0,245,0.04584127,245,0.048362812,0.290452105,0.006263442
64,Alkasor,Zimovka,100,100,1986,clearly in use,0,bing,2016/2017,0,253,0.872059735,250,0,63.78264618,49.98955536,247,0.002591093,247,0,247,0.048331084,0.291555504,0.006299481
65,Saikuduk,Zimovka,100,100,1986,clearly in use,0,bing,2016/2017,0,246,0.903071355,246,0,63.78048325,49.96367264,247,0.002591093,247,0.010760234,247,0.060008997,0.291452896,0.006296131
66,n/a,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,247,0.811354048,246,0.004065041,63.69417191,49.95162201,253,0,253,0,253,0.018339921,0.291405166,0.006294573
67,n/a,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,250,0.830133365,246,0.028455285,63.66431046,49.95530319,250,0,250,0,250,0.039466667,0.291419745,0.006295049
68,n/a,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,248,0.861523302,246,0,63.69960403,49.9869194,248,0,248,0,248,0.054784947,0.291545057,0.00629914
69,n/a,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,248,0.868548395,248,0,63.74623489,49.94573593,249,0,249,0.002730924,249,0.072021419,0.291381867,0.006293812
70,Sarysu,Settlement,100,70,1986,-/-,0,bing,2016/2017,0,249,0.937313711,246,0.105691057,63.77020264,49.87388611,243,0,243,0.008376772,243,0.059368999,0.291098166,0.006284548
71,Otes,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,250,0.920266672,245,0.163265306,63.78054428,49.87327194,251,0,251,0.008180611,251,0.054749889,0.291095736,0.006284469
72,Kabanbai-Karasu,Zimovka,100,20,1986,partly in use,0,bing,2016/2017,0,247,0.891515946,248,0.528225806,63.75667191,49.83515167,251,0,251,0.00626826,251,0.052394865,0.290945721,0.006279569
73,Baitemir,Settlement,100,10,1986,"almost fully abandoned, also abandoned livestock stations",0,bing,2016/2017,1,248,0.867777792,246,0.207317073,63.71046448,49.82248688,247,0,247,0.009518668,247,0.01477283,0.290895954,0.006277944
74,Suzhargan,Settlement,100,80,1986,-/-,0,bing,2016/2017,0,250,0.80931558,246,0.292682927,63.66583252,49.78960037,246,0,246,0.011472448,246,0.078897923,0.290766902,0.006273728
75,Eginkol,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,243,0.629794259,246,0.707317073,63.69499588,49.76966476,253,0,253,0.012894159,253,0.056337286,0.290688793,0.006271176
76,Taldykol,Zimovka,100,100,1986,clearly in use,0,bing,2016/2017,0,251,0.88451527,247,0.874493927,63.79661942,49.74728775,252,0,252,0.019347443,252,0.004444445,0.290601236,0.006268315
77,Kokozek,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,252,0.910299832,246,1.056910569,63.82898331,49.7870903,248,0,248,0.013154122,248,0.007956989,0.290757053,0.006273406
78,Erzhan,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,247,0.796527216,245,0.759183673,63.74534225,49.80887604,248,0,248,3.58423E-05,248,0.025878136,0.290842511,0.006276198
79,Shuakbai,Settlement,100,30,1986,abandoned livestock stations,0,bing,2016/2017,1,250,0.873120003,245,0.057142857,63.83937073,49.67733383,243,0,243,0.010900777,243,0.028001829,0.290328254,0.006259395
80,n/a,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,249,0.886996876,246,0.052845528,63.84443665,49.67863846,249,0,249,0.010638108,249,0.027327086,0.290333341,0.006259561
81,Aralkun,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,244,0.879708558,246,0.008130081,63.88139725,49.69954681,248,0,248,0.005609319,248,0.021487455,0.290414816,0.006262224
82,Biikkan,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,247,0.888223104,246,0.008130081,63.91205978,49.71002197,246,0,246,0.005654923,246,0.030587172,0.290455664,0.006263559
83,Kuat,Settlement,100,60,1986,abandoned/active livestock stations,0,bing,2016/2017,1,247,0.85738193,245,0.008163265,63.95802307,49.72323227,248,0,248,0.004802867,248,0.037688172,0.290507227,0.006265244
84,Otynkopa,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,248,0.867813634,244,0,63.96544647,49.74688721,249,0,249,0.001981258,249,0.056510486,0.290599664,0.006268264
85,Karatorgai,Settlement,100,0,1986,clearly abandoned,0,bing,2016/2017,0,247,0.808475035,246,0.317073171,63.91321182,49.79170227,247,0,247,0.020224921,247,0.010022492,0.290775136,0.006273997
86,Kazybai,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,253,0.828493632,247,0.376518219,63.9049263,49.80355453,247,0,247,0.020224921,247,0.009950517,0.290821625,0.006275516
87,n/a,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,247,0.838146644,245,0.465306122,63.89057159,49.81020355,248,0,248,0.018799283,248,0.010358423,0.290847714,0.006276368
88,Mausymbek,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,248,0.84360217,249,0.16064257,63.83327484,49.87662125,249,0,249,0.032913878,249,0.091262829,0.291108941,0.0062849
89,Tunkator,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,249,0.656242742,247,0.004048583,63.84718704,49.95432281,247,0.002591093,247,0.008007198,247,0.028645974,0.291415862,0.006294922
90,n/a,Letovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,246,0.597687423,245,0.024489796,63.86286545,49.95067215,251,0.000106242,251,0.006427623,251,0.073306773,0.291401407,0.00629445
91,n/a,Letovka,100,0,1986,no remnants,0,bing,2016/2017,0,247,0.546828595,246,0.012195122,63.86646271,49.95679092,243,0.001865569,243,0.000640146,243,0.03829904,0.291425633,0.006295241
92,Taush,Settlement,100,60,1986,-/-,0,bing,2016/2017,0,247,0.509203763,249,0.016064257,63.94958115,49.98486328,250,0,250,0.002755556,250,0.00064,0.291536881,0.006298873
93,Myndykol,Letovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,250,0.873528895,248,0.008064516,63.4750061,49.91402435,247,0,247,0,247,0.121187585,0.29125651,0.006289719
94,Zhanbakty,Letovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,250,0.875804441,248,0,63.47333908,49.89910507,249,0,249,0,249,0.092672914,0.291197611,0.006287796
95,n/a,Letovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,250,0.94760888,247,0.704453441,63.13746643,49.87521362,246,0,246,0.003107498,246,0.626070462,0.29110341,0.006284719
96,n/a,Letovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,246,0.908906962,246,0,63.34022522,49.88018036,252,0,252,0,252,0.319223987,0.291122974,0.006285358
97,n/a,Letovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,248,0.833476709,244,0,63.33894348,49.86319733,249,0,249,0,249,0.155020081,0.29105607,0.006283173
98,Zharsor,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,245,0.911256228,248,0.35483871,63.24609756,49.90591049,249,0,249,0.001606426,249,0.739134316,0.291224481,0.006288673
99,n/a,Letovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,243,0.712208519,245,0.408163265,63.66405487,49.76595688,250,0,250,0.014346667,250,0.087768889,0.290674273,0.006270702
100,Razdolnoe,Settlement,100,90,1984,abandoned livestock stations,0,bing,2016/2017,1,247,0.654125039,257,0.042801556,63.18878174,51.46680832,249,0,249,0.090691656,249,0.022025881,0.29768784,0.006499098
101,Akzhol,Settlement,100,0,1984,clearly abandoned,0,bing,2016/2017,0,245,0.509097506,256,0.73046875,63.30205154,51.54381943,247,0.002393162,247,0.110355376,247,0.320305893,0.298023006,0.006509976
102,n/a,Letovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,250,0.84760888,247,1.619433198,64.58988953,49.47964478,248,0.001792115,248,0,248,0.208172044,0.289562973,0.006234374
103,n/a,Zimovka,100,0,1986,clearly abandoned,0,google,2016/2017,0,249,0.859973217,246,1.886178862,64.55605316,49.46702957,248,0.030197133,248,0,248,0.353494625,0.289514443,0.006232787
104,Kurtai,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,248,0.45534052,243,0.312757202,64.60330963,49.39685822,253,0,253,0,253,0.926359246,0.289245191,0.006223979
105,Mynbai,Zimovka,100,0,1986,clearly abandoned,0,google,2016/2017,0,248,0.574713262,242,0.256198347,64.52805328,49.3742485,247,0,247,0.00291498,247,0.822708052,0.289158668,0.006221148
106,n/a,Letovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,247,0.664957282,246,0.581300813,64.64722443,49.36432648,252,0,252,0.003262787,252,0.251164021,0.289120728,0.006219907
107,Aiyrkum,Settlement,100,0,1986,clearly abandoned,0,bing,2016/2017,0,248,0.683638018,245,0.587755102,64.68537903,49.38299179,248,0,248,0,248,0.345394265,0.289192109,0.006222242
108,Kultykiyak,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,247,0.558704484,242,0.181818182,64.66448975,49.40491104,253,0,253,0,253,0.68168643,0.289276026,0.006224988
109,n/a,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,245,0.73320632,246,0.288617886,64.77093506,49.42703247,250,0.000977778,250,0,250,0.839911111,0.289360819,0.006227762
110,Akshii,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,244,0.907285976,244,0.831967213,64.71447754,49.45618057,248,0.08655914,248,0,248,0.360125448,0.289472736,0.006231423
111,Saryllykkol,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,243,0.890717877,242,0.929752066,64.79018402,49.48676682,247,0.293009447,247,0.005182186,247,0.589509672,0.289590378,0.006235271
112,Sumentaibulak,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,251,0.745285536,246,0.959349593,64.69658661,49.50377655,247,0.095690509,247,0.01822762,247,5.39811E-05,0.289655903,0.006237414
113,n/a,Letovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,250,0.523946673,244,0.881147541,64.96008301,49.5717392,247,0,247,0,247,0.666342781,0.289918333,0.006245995
114,n/a,Letovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,250,0.466666667,245,0.628571429,64.96103668,49.49882126,248,0,248,0,248,0.806003585,0.289636805,0.006236789
115,Konyrozek,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,246,0.71192411,243,0.728395062,64.9308548,49.48069382,250,0,250,0.003822222,250,0.874524445,0.289566997,0.006234506
116,Amba,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,250,0.747200007,244,0.081967213,64.86671448,49.47599411,248,0,248,0,248,0.962885306,0.289548923,0.006233915
117,n/a,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,247,0.775366626,244,0.069672131,64.86170197,49.47406387,248,0,248,0,248,0.959157707,0.289541499,0.006233672
118,n/a,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,249,0.804087466,245,1.244897959,64.93769073,49.39664459,246,0.005275519,246,0.00401084,246,0.115176151,0.289244351,0.006223952
119,n/a,Kosh,100,0,1986,clearly abandoned,0,bing,2016/2017,0,248,0.651379929,247,0.809716599,64.94782257,49.58596802,251,0,251,0.002815405,251,0.40208942,0.28997342,0.006247796
120,Maiak,Settlement,100,70,1984,abandoned livestock stations,0,bing,2016/2017,1,250,0.583057803,259,0.003861004,61.82421112,51.96971512,247,0,247,0.00014395,247,0,0.299905852,0.006571028
121,Lager,Settlement,100,0,1984,fully abandoned,0,bing,2016/2017,0,247,0.330382372,257,0.451361868,61.94932938,51.9075737,248,0.023172043,248,0.047275986,248,0.00344086,0.299628005,0.006562025
122,Kopal,Settlement,100,0,1984,fully abandoned,0,bing,2016/2017,0,243,0.194659342,257,0.645914397,61.84154129,51.44986725,247,0,247,0.270787225,247,0.011390013,0.297614386,0.006496713
123,Maiak,Settlement,100,0,1984,fully abandoned,0,bing,2016/2017,0,253,0.331014488,254,0.362204724,61.95512772,51.43263245,250,0.003128889,250,0.066346667,250,0.005795556,0.297539667,0.006494288
124,Prirechnyi,Settlement,100,60,1984,abandoned/active livestock stations,0,bing,2016/2017,1,248,0.121218624,256,0.00390625,61.52668381,51.92814255,246,0,246,0.064209576,246,0.014290876,0.299719871,0.006565002
125,Buldy,Settlement,100,0,1984,"fully abandoned, abandoned livestock stations",1,bing,2016/2017,1,249,0.243480586,255,2.003921569,61.51066971,51.45697021,248,0,248,0.181505376,248,0.288154123,0.297645213,0.006497714
126,Stepnoi,Settlement,100,70,1984,abandoned/active livestock stations,0,bing,2016/2017,1,248,0.307777775,255,0.02745098,61.35369492,51.74816895,247,0.009806568,247,0.024795321,247,0,0.298920249,0.006539082
127,Blaksai,Settlement,100,10,1984,"mostly fully abandoned, abandoned/active livestock stations",0,bing,2016/2017,1,247,0.230409355,256,0.11328125,61.32767105,51.72615433,251,0.007879593,251,0.060540062,251,0,0.298823059,0.00653593
128,Vostochnyi,Settlement,100,80,1984,abandoned/active livestock stations,0,bing,2016/2017,1,247,0.598812407,230,0.026086957,61.31126404,51.43307114,243,0.002048468,243,0.011705533,243,0.013223594,0.297541601,0.006494351
129,TImiriazevo,Settlement,100,70,1984,abandoned/active livestock stations,0,bing,2016/2017,1,249,0.038411426,258,0.158914729,61.03120422,51.74539185,249,0,249,0.200071397,249,0.011137885,0.29890801,0.006538685
130,Aktasty,Settlement,100,10,1984,almost fully abandoned,0,bing,2016/2017,0,248,0.395322593,258,0.662790698,61.14260483,51.86248779,252,0.001957672,252,0.101816579,252,0.042186949,0.299427142,0.006555515
131,Miliutinka,Settlement,100,80,1984,abandoned/active livestock stations,0,bing,2016/2017,1,250,0.174257782,257,0.155642023,61.14634705,51.93759155,247,0.006909582,247,0.106072875,247,0.006711651,0.299762122,0.006566371
132,Chikei,Settlement,100,0,1984,fully abandoned,0,bing,2016/2017,0,247,0.182744038,222,0.004504505,60.9440918,51.61250305,249,0,249,0.060169567,249,0.008121374,0.298323398,0.006519723
133,Volgogradskii,Settlement,100,90,1984,-/-,0,bing,2016/2017,0,243,0.168468217,236,0.021186441,60.93312836,51.63196182,246,0,246,0.085239386,246,0.013116531,0.298408701,0.006522491
