Plot,cluster7,Strata,Litter_m2,BM_yield_m2,cov_herb,cov_litter,cov_soil,latitude,longitude,fire_freq_MODIS,rec_fire_field_obs,fire_freq_check,lastfire_MODIS,lastfire_check,timesincefire_check,dung_livestock,dung_horse,dung_cattl,dung_sheepgoat,n_souslik_burrows,CWMheight,LF_530,LF_3060,pH_530,Sand_530,dist_settl_km
UF19,1,UF,,116.14,30,2,70,50.55370169,65.20026569,3,1,3,2014,2014,2,0,0,0,0,0,21.984375,130.6,402,8.84,26.3,26.274
UF20,1,UF,19.7,219.68,25,15,70,50.5387006,65.27177632,3,0,3,2014,2014,2,0,0,0,0,0,20.41666667,99.4,589,8.86,12.8,27.757
UF21,4,UF,34.34,154.54,35,5,60,50.55448397,65.30443255,4,1,4,2014,2015,1,0,0,0,0,0,21.72435897,62.7,111.5,8.37,7.3,26.396
UF22,1,UF,33.28,152.06,40,10,55,50.54217623,65.13403759,3,0,3,2012,2012,4,0,0,0,0,2,24.21875,128.7,625,8.72,13.8,22.893
UF23,5,UF,,86.26,30,1,69,50.59483923,65.24688718,4,1,5,2012,2014,2,0,0,0,0,0,20.53225806,216,1108,8.84,20.5,23.617
UF24,1,UF,,177.3,30,5,65,50.65398579,65.20260743,3,1,3,2014,2015,1,0,0,0,0,2,25.73387097,141.4,758,8.82,9.1,16.397
UF25,5,UF,,106.74,25,2,73,50.59204806,65.29986307,5,0,5,2014,2014,2,0,0,0,0,2,16.39285714,271,635,8.39,25.5,26.04
UF26,4,UF,,143.74,35,2,65,50.55914414,65.28515853,5,1,5,2014,2014,2,0,0,0,0,0,21.08552632,67.1,111.3,8.33,11,27.847
UF28,1,UF,,101.74,30,10,65,50.52342935,65.12458691,3,0,3,2012,2012,4,0,0,0,0,1,21.65322581,199.4,577,8.35,6,22.488
UF29,4,UF,,116.72,40,2,60,50.64607563,65.24055264,3,1,4,2008,2014,2,0,0,0,0,2,15.93125,287,188.6,8.7,15.3,18.73
UF30,1,UF,113.94,126.44,30,50,30,50.57135867,65.22936892,3,0,3,2012,2012,4,0,0,0,0,1,37.25,46.8,228,8.62,5.3,25.293
UF31,4,UF,,77.44,20,0,80,50.47146239,65.21458978,3,1,3,2015,2015,1,0,0,0,0,1,22.375,129.7,717,8.46,1.5,29.822
UF32,1,UF,0,,15,1,85,50.45902189,65.18722739,3,1,3,2015,2015,1,0,0,0,0,3,20.98333333,135.5,2130,8.87,0.4,28.798
UF33,1,UF,18.88,163.54,30,8,65,50.52226745,65.13532472,3,0,3,2012,2012,4,0,0,0,0,4,26.35,125.7,1143,8.92,10.4,23.261
UF34,1,UF,33.32,198.98,45,10,50,50.52427433,65.15295396,3,0,3,2012,2012,4,0,0,0,0,1,27.92727273,118,344,8.72,6.3,24.458
UF35,5,UF,,89.16,25,5,70,50.58350849,65.26942176,5,1,5,2014,2014,2,2,2,0,0,4,15.16346154,639,1012,8.14,39.2,25.54
UF36,1,UF,,180.22,30,3,70,50.55611987,65.14488252,3,1,3,2012,2012,4,0,0,0,0,1,23.078125,719,1657,8.89,21.1,23.593
UF37,4,UF,,147.62,35,1,65,50.68684738,65.224853,3,1,3,2014,2014,2,0,0,0,0,6,16.7,78.6,233,8.62,6.3,14.691
UF38,1,UF,,86.24,45,1,55,50.56712145,65.28668563,5,0,5,2014,2014,2,0,0,0,0,0,17.05681818,112.1,679,8.63,65,27.735
UF39,5,UF,,147.28,35,2,65,50.60361492,65.15646614,3,0,3,2012,2012,4,0,0,0,0,2,15.23684211,14.4,29.2,7.54,24.8,20.009
UF40,5,UF,35.42,230.74,65,25,20,50.5639049,65.18889522,3,0,3,2012,2012,4,0,0,0,0,5,31.23722628,164.6,810,9.19,17.1,24.931
UF41,4,UF,,156.76,40,5,60,50.53147355,65.17891397,3,0,3,2012,2012,4,0,0,0,0,2,24.47222222,67.6,88.4,8.28,15.5,26.174
UF42,5,UF,0,,25,1,75,50.60080807,65.19721258,5,1,5,2014,2014,2,0,0,0,0,5,17.84259259,156.7,83.9,8.98,27.7,21.354
UF43,4,UF,,82.46,30,2,70,50.60911336,65.36334995,4,1,4,2015,2015,1,0,0,0,0,2,14.57575758,44.9,123.4,8.51,10.1,26.55
UF44,4,UF,58.32,117.5,50,30,35,50.56400263,65.17173814,4,0,4,2012,2012,4,0,0,0,0,0,22.40909091,59.1,72,7.96,32.2,24.538
UF45,1,UF,,301.48,70,3,30,50.57383846,65.21590699,4,0,4,2012,2012,4,0,0,0,0,1,30.39939024,38.7,53.9,8.21,8.2,24.632
UF47,5,UF,,121.1,40,2,60,50.61375819,65.17213519,3,1,3,2012,2015,1,0,0,0,0,1,17.55357143,17.5,27.7,7.79,17.2,19.325
UF48,5,UF,,104.02,20,0,80,50.61630562,65.12837637,3,1,3,2014,2014,2,0,0,0,0,1,15.05,123.5,694,8.83,16.8,18.114
UF49,5,UF,,106.42,30,1,70,50.58694524,65.20445547,4,0,4,2014,2014,2,0,0,0,0,3,25.25,37.1,246,7.7,26.8,22.969
UF50,1,UF,67.62,153.7,45,30,30,50.52792247,65.09173614,3,0,3,2012,2012,4,0,0,0,0,0,30.71875,192,473,9.03,21,20.108
UF51,4,UF,12.52,108.62,30,5,65,50.65496171,64.98938369,3,1,3,2014,2014,2,0,0,0,0,1,18.84166667,61.4,760,8.74,17.4,10.866
UF52,4,UF,19.62,114.64,30,8,65,50.65985244,65.0129128,3,1,3,2014,2014,2,3,2,1,0,2,22.21875,56.7,598,9.17,20.1,11.964
UN01,2,UN,,80.36,55,3,45,50.63165045,64.9530708,0,0,0,0,0,17,0,0,0,0,0,27.5,377,472,8.02,5.5,10.959
UN02,6,UN,57.94,88.26,25,50,30,50.81313836,64.96591321,0,0,0,0,0,17,0,0,0,0,1,23.37,156.5,388,8.88,1.8,5.185
UN03,1,UN,35.14,100,30,25,45,50.68237128,64.90562344,0,0,0,0,0,17,5,5,0,0,0,28.05147059,134.6,185.6,8.98,5.9,4.425
UN04,2,UN,,75.88,40,2,60,50.60910112,64.83560479,0,1,1,0,2005,11,4,1,3,0,1,21.18243243,363,1127,9.05,31.6,5.826
UN05,5,UN,,84.02,40,2,60,50.77769003,64.96694008,0,0,0,0,0,17,2,2,0,0,1,13.15625,23.2,246,8.56,20.2,4.628
UN06,1,UN,19.84,234.46,25,5,70,50.65667546,65.09133984,0,1,1,0,2014,2,0,0,0,0,0,31.08333333,79.7,1352,8.64,13.8,13.217
UN07,5,UN,16.66,66.86,40,8,55,50.75772459,64.85940831,0,1,0,0,0,17,3,1,2,0,0,17.16176471,67.8,403,8.66,19.6,4.429
UN08,1,UN,56.5,90.78,30,30,30,50.60521393,64.87136367,0,0,0,0,0,17,10,10,0,0,0,19.55882353,182.6,997,8.28,17.8,6.719
UN09,1,UN,,63.02,30,0,70,50.65032248,64.9309678,0,0,0,0,0,17,1,1,0,0,2,8,243,1167,7.71,9.4,8.364
UN11,6,UN,,95.14,30,1,69,50.65180482,65.17154049,0,0,0,0,0,17,0,0,0,0,1,14.66666667,641,1455,7.36,3.2,15.461
UN12,1,UN,12.86,112.52,40,20,55,50.77638539,64.86689201,0,0,0,0,0,17,9,1,7,1,7,34.22093023,48.8,95.9,8.92,7.1,2.704
UN13,7,UN,,51.94,35,4,65,50.78464994,64.96103888,0,0,0,0,0,17,11,7,4,0,3,18.43292683,180.4,273,7.9,18.4,4.076
UN14,4,UN,,,45,1,54,50.67443621,65.23818048,0,0,0,0,0,17,0,0,0,0,2,20.34883721,79.7,161.9,8.51,5.7,16.318
UN15,1,UN,58.12,108.98,30,50,20,50.65807206,65.04641795,0,0,0,0,0,17,7,7,0,0,4,19.14285714,148.6,447,8.87,11.8,13.049
UN16,2,UN,,170.96,35,0,65,50.71483824,64.94670398,0,0,0,0,0,17,0,0,0,0,2,6.057142857,1193,3730,4.73,4.3,5.718
UN17,5,UN,,84.82,60,6,40,50.74576177,64.9870025,0,0,0,0,0,17,4,3,1,0,0,16.86742424,30.3,595,8.44,13.5,6.427
UN18,3,UN,,,40,5,55,50.66884984,65.1019318,0,0,0,0,0,17,0,0,0,0,0,25.00609756,1219,2840,4.65,7.1,12.001
UN20,1,UN,38.04,94.08,30,15,65,50.61988746,64.93224252,0,0,0,0,0,17,3,3,0,0,5,32.9469697,67.1,349,8.96,6.5,10.967
UN21,2,UN,,95.48,30,5,70,50.62072758,65.06316592,0,1,1,0,2014,2,0,0,0,0,0,20.93181818,365,921,7.74,2.9,17.117
